#   ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.700000e-01 5.000000e-01 6.500000e-01 2.710000e+01 1.000000e+00 1.000000e+00 5.400000e+00 5.400000e+00 5.491812e+00 5.491812e+00
7.300000e-01 6.500000e-01 8.200000e-01 2.380000e+01 2.000000e-01 2.000000e-01 2.100000e+00 2.100000e+00 2.109502e+00 2.109502e+00
9.100000e-01 8.200000e-01 1.010000e+00 2.170000e+01 1.000000e-01 1.000000e-01 1.600000e+00 1.600000e+00 1.603122e+00 1.603122e+00
1.110000e+00 1.010000e+00 1.220000e+00 2.010000e+01 1.000000e-01 1.000000e-01 1.200000e+00 1.200000e+00 1.204159e+00 1.204159e+00
1.330000e+00 1.220000e+00 1.460000e+00 1.780000e+01 1.000000e-01 1.000000e-01 9.000000e-01 9.000000e-01 9.055385e-01 9.055385e-01
1.580000e+00 1.460000e+00 1.720000e+00 1.460000e+01 0.000000e+00 0.000000e+00 6.000000e-01 6.000000e-01 6.000000e-01 6.000000e-01
1.850000e+00 1.720000e+00 2.000000e+00 1.190000e+01 0.000000e+00 0.000000e+00 4.000000e-01 4.000000e-01 4.000000e-01 4.000000e-01
2.150000e+00 2.000000e+00 2.310000e+00 9.470000e+00 1.000000e-02 1.000000e-02 2.800000e-01 2.800000e-01 2.801785e-01 2.801785e-01
2.470000e+00 2.310000e+00 2.650000e+00 7.480000e+00 1.000000e-02 1.000000e-02 1.900000e-01 1.900000e-01 1.902630e-01 1.902630e-01
2.820000e+00 2.650000e+00 3.000000e+00 5.770000e+00 1.000000e-02 1.000000e-02 1.300000e-01 1.300000e-01 1.303840e-01 1.303840e-01
3.170000e+00 3.000000e+00 3.360000e+00 4.810000e+00 1.000000e-02 1.000000e-02 1.000000e-01 1.000000e-01 1.004988e-01 1.004988e-01
3.540000e+00 3.360000e+00 3.730000e+00 3.770000e+00 1.000000e-02 1.000000e-02 8.000000e-02 8.000000e-02 8.062258e-02 8.062258e-02
