x	y
0.146	1.005
0.177	1.198
0.227	1.489
0.270	1.698
0.326	1.991
0.391	2.328
0.450	2.628
0.522	3.021
0.624	3.552
0.763	4.232
0.870	4.744
1.034	5.595
1.257	6.782
1.512	8.098
1.742	9.073
2.337	12.020
2.599	13.288
3.217	16.020
3.870	19.088
4.907	23.423
5.772	26.481
6.557	29.811
8.125	34.564
10.062	40.461
14.164	49.864
20.670	60.727
27.107	68.106
40.748	78.369
65.673	87.562
95.346	92.978
157.387	96.220
218.696	97.466
271.380	95.448
336.075	91.979
407.201	89.642
461.638	85.927
513.085	82.804
564.448	80.057
628.517	76.371
703.028	71.614
762.949	68.096
844.691	61.242
895.742	58.043
952.247	52.675
977.113	49.873
1012.961	45.847
1028.750	43.223
1044.120	40.379
1055.553	38.355
1071.323	36.140
1087.329	33.365
1098.599	31.863
1109.985	30.541
1138.904	28.318
1190.717	26.723
1240.855	25.302
1333.574	23.601
1423.294	22.261
1534.705	21.167
1744.513	20.021
1984.267	19.036
2302.397	18.395
2764.577	17.909
3336.501	17.455
4684.258	16.795
5660.526	16.571
6938.435	16.359
8952.224	16.203
