#   POSITRON/ELECTRON+POSITRON  AMS02(2011/06-2013/11)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
5.700000e-01 5.000000e-01 6.500000e-01 9.430000e-02 2.700000e-03 2.700000e-03 4.300000e-03 4.300000e-03 5.077401e-03 5.077401e-03
7.300000e-01 6.500000e-01 8.100000e-01 9.170000e-02 1.500000e-03 1.500000e-03 3.300000e-03 3.300000e-03 3.624914e-03 3.624914e-03
9.000000e-01 8.100000e-01 1.000000e+00 8.620000e-02 8.000000e-04 8.000000e-04 2.500000e-03 2.500000e-03 2.624881e-03 2.624881e-03
1.100000e+00 1.000000e+00 1.210000e+00 8.200000e-02 7.000000e-04 7.000000e-04 2.000000e-03 2.000000e-03 2.118962e-03 2.118962e-03
1.320000e+00 1.210000e+00 1.450000e+00 7.750000e-02 5.000000e-04 5.000000e-04 1.800000e-03 1.800000e-03 1.868154e-03 1.868154e-03
1.570000e+00 1.450000e+00 1.700000e+00 7.240000e-02 5.000000e-04 5.000000e-04 1.600000e-03 1.600000e-03 1.676305e-03 1.676305e-03
1.830000e+00 1.700000e+00 1.970000e+00 6.860000e-02 4.000000e-04 4.000000e-04 1.400000e-03 1.400000e-03 1.456022e-03 1.456022e-03
2.120000e+00 1.970000e+00 2.280000e+00 6.500000e-02 3.000000e-04 3.000000e-04 1.200000e-03 1.200000e-03 1.236932e-03 1.236932e-03
2.430000e+00 2.280000e+00 2.600000e+00 6.220000e-02 4.000000e-04 4.000000e-04 1.000000e-03 1.000000e-03 1.077033e-03 1.077033e-03
2.760000e+00 2.600000e+00 2.940000e+00 5.970000e-02 3.000000e-04 3.000000e-04 9.000000e-04 9.000000e-04 9.486833e-04 9.486833e-04
3.110000e+00 2.940000e+00 3.300000e+00 5.760000e-02 3.000000e-04 3.000000e-04 8.000000e-04 8.000000e-04 8.544004e-04 8.544004e-04
3.490000e+00 3.300000e+00 3.700000e+00 5.590000e-02 3.000000e-04 3.000000e-04 7.000000e-04 7.000000e-04 7.615773e-04 7.615773e-04
3.900000e+00 3.700000e+00 4.110000e+00 5.530000e-02 3.000000e-04 3.000000e-04 6.000000e-04 6.000000e-04 6.708204e-04 6.708204e-04
4.320000e+00 4.110000e+00 4.540000e+00 5.390000e-02 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04 5.830952e-04 5.830952e-04
4.760000e+00 4.540000e+00 5.000000e+00 5.280000e-02 3.000000e-04 3.000000e-04 4.000000e-04 4.000000e-04 5.000000e-04 5.000000e-04
5.240000e+00 5.000000e+00 5.500000e+00 5.240000e-02 3.000000e-04 3.000000e-04 4.000000e-04 4.000000e-04 5.000000e-04 5.000000e-04
5.740000e+00 5.500000e+00 6.000000e+00 5.150000e-02 3.000000e-04 3.000000e-04 3.000000e-04 3.000000e-04 4.242641e-04 4.242641e-04
6.270000e+00 6.000000e+00 6.560000e+00 5.140000e-02 3.000000e-04 3.000000e-04 3.000000e-04 3.000000e-04 4.242641e-04 4.242641e-04
6.850000e+00 6.560000e+00 7.160000e+00 5.110000e-02 4.000000e-04 4.000000e-04 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04
7.470000e+00 7.160000e+00 7.800000e+00 5.060000e-02 4.000000e-04 4.000000e-04 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04
8.140000e+00 7.800000e+00 8.500000e+00 5.090000e-02 4.000000e-04 4.000000e-04 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04
8.850000e+00 8.500000e+00 9.210000e+00 5.140000e-02 4.000000e-04 4.000000e-04 3.000000e-04 3.000000e-04 5.000000e-04 5.000000e-04
9.570000e+00 9.210000e+00 9.950000e+00 5.130000e-02 5.000000e-04 5.000000e-04 3.000000e-04 3.000000e-04 5.830952e-04 5.830952e-04
1.033000e+01 9.950000e+00 1.073000e+01 5.230000e-02 5.000000e-04 5.000000e-04 3.000000e-04 3.000000e-04 5.830952e-04 5.830952e-04
1.113000e+01 1.073000e+01 1.154000e+01 5.320000e-02 6.000000e-04 6.000000e-04 3.000000e-04 3.000000e-04 6.708204e-04 6.708204e-04
