x	y
1.042	0.308
1.097	0.325
1.268	0.378
1.556	0.460
2.272	0.650
3.962	1.035
5.653	1.383
7.858	1.797
11.527	2.402
17.044	3.117
25.516	4.083
38.140	5.156
56.387	6.292
78.281	7.383
87.027	7.660
96.561	7.908
102.950	8.183
112.930	8.491
122.492	8.701
133.050	8.916
144.610	9.104
153.564	9.295
163.071	9.407
174.138	9.525
183.097	9.697
194.570	9.796
205.725	9.937
220.932	10.057
238.455	10.178
253.219	10.300
270.592	10.424
290.612	10.430
312.093	10.555
340.439	10.688
362.738	10.729
389.845	10.766
411.936	10.766
437.413	10.766
454.746	10.766
480.516	10.766
502.357	10.766
518.391	10.717
541.583	10.639
582.021	10.639
636.175	10.513
672.225	10.513
710.769	10.508
746.628	10.334
776.901	10.281
820.352	10.196
862.501	10.075
921.737	9.955
983.664	9.873
1078.333	9.710
1113.969	9.595
1163.864	9.480
1222.259	9.360
1222.809	9.402
1298.517	9.213
1385.760	8.995
1471.557	8.888
1554.946	8.673
1606.333	8.570
1697.250	8.398
1782.075	8.294
1861.896	8.094
1936.910	7.993
1959.044	7.837
2023.664	7.768
2159.624	7.612
2218.421	7.459
2293.336	7.370
2384.063	7.222
2503.216	7.052
2602.964	6.852
2701.767	6.715
2822.779	6.580
2916.062	6.425
3047.917	6.326
3149.558	6.198
3306.969	5.976
3454.867	5.763
3571.537	5.668
3657.851	5.594
3734.113	5.463
3881.838	5.331
3925.966	5.267
4055.709	5.180
4169.042	5.074
4217.539	4.986
4307.807	4.899
4387.315	4.840
4469.460	4.752
4543.507	4.709
4629.678	4.644
4706.379	4.588
4765.140	4.557
4837.735	4.489
4927.023	4.421
4988.650	4.374
5080.724	4.308
5177.212	4.248
5240.720	4.202
5295.162	4.163
5384.169	4.113
5451.644	4.076
5497.925	4.026
5590.475	3.977
5659.052	3.941
5718.715	3.921
5790.874	3.875
5840.175	3.840
5911.816	3.811
5984.335	3.765
6057.745	3.714
6158.104	3.670
6235.129	3.636
6338.428	3.597
6392.386	3.565
6458.796	3.533
6538.025	3.490
6618.227	3.458
6701.007	3.432
6754.518	3.401
6824.685	3.376
6868.226	3.349
6926.688	3.318
7041.276	3.289
7114.421	3.259
7203.591	3.216
7247.634	3.191
7336.540	3.157
7428.481	3.133
7521.396	3.090
7613.660	3.062
7707.056	3.035
7762.130	2.999
7857.347	2.972
7956.759	2.940
8056.480	2.905
8140.172	2.870
8259.476	2.844
8325.632	2.826
8411.918	2.792
8539.677	2.757
8644.432	2.719
8752.765	2.690
8862.461	2.665
8956.657	2.629
9066.527	2.606
9121.967	2.582
9236.299	2.547
9349.592	2.525
9464.282	2.494
9562.599	2.465
9641.486	2.442
9746.529	2.408
9866.081	2.379
9970.943	2.358
10044.941	2.335
10129.134	2.312
10224.736	2.281
10350.163	2.252
10447.980	2.228
10543.971	2.203
10675.967	2.174
10856.968	2.144
10968.324	2.115
11070.397	2.092
11237.190	2.063
11377.884	2.032
11520.472	2.006
11618.419	1.979
11799.793	1.949
11949.095	1.924
12098.841	1.893
12238.949	1.864
12354.465	1.843
12550.615	1.819
12720.483	1.794
12827.852	1.775
12947.380	1.745
13151.222	1.716
13312.568	1.698
13493.518	1.675
13577.805	1.658
13660.829	1.648
13835.490	1.620
13964.246	1.608
14094.375	1.586
14255.890	1.562
14373.317	1.546
14493.789	1.527
14628.852	1.513
14825.763	1.495
15011.560	1.472
15153.270	1.451
15410.166	1.431
15586.592	1.404
15748.494	1.393
15928.780	1.376
16060.187	1.361
16196.717	1.345
16295.756	1.334
16449.766	1.324
16626.984	1.312
16763.943	1.297
16829.963	1.287
16920.162	1.281
17023.625	1.273
17140.574	1.263
17281.963	1.250
17389.914	1.242
17607.643	1.227
17755.223	1.215
17865.939	1.201
18039.273	1.187
18284.484	1.173
18457.287	1.160
18629.285	1.141
18862.516	1.127
19058.477	1.114
19220.496	1.100
19338.025	1.092
19580.145	1.079
19684.158	1.071
19909.500	1.057
20095.031	1.046
20287.352	1.034
20457.393	1.025
20628.604	1.016
20754.742	1.008
20948.148	0.997
21101.092	0.988
21232.900	0.981
21388.188	0.972
21501.559	0.964
21658.811	0.955
21837.504	0.947
21973.623	0.937
22175.484	0.930
22311.082	0.922
22498.104	0.914
22707.719	0.905
22894.766	0.895
23034.762	0.887
23249.416	0.878
23394.643	0.868
23715.775	0.858
23936.756	0.850
24159.516	0.841
24310.469	0.834
24459.121	0.828
24577.617	0.823
24768.561	0.815
24923.277	0.807
25155.260	0.798
25315.686	0.791
25500.516	0.784
25741.518	0.778
25902.312	0.769
26143.365	0.762
26306.670	0.757
26586.602	0.749
26749.172	0.740
27030.273	0.731
27228.967	0.721
27479.062	0.714
27735.133	0.707
27963.912	0.701
28227.869	0.693
28434.338	0.687
28744.057	0.679
29011.914	0.674
29251.250	0.665
29433.605	0.660
29695.512	0.654
29972.211	0.646
30247.553	0.640
30436.117	0.633
30715.721	0.627
30907.586	0.622
31096.580	0.616
31199.305	0.612
31326.299	0.608
31586.158	0.602
31846.732	0.598
32215.525	0.592
32313.885	0.588
32554.070	0.583
32753.131	0.579
33023.332	0.575
33295.762	0.570
33606.004	0.565
33757.191	0.559
34067.305	0.552
34461.812	0.546
34754.781	0.541
35041.492	0.536
35372.230	0.531
35739.680	0.524
36043.539	0.519
36340.883	0.513
36674.699	0.507
37138.742	0.501
37538.855	0.495
37752.660	0.491
37948.242	0.487
38265.902	0.483
38387.695	0.479
38586.566	0.477
38827.152	0.474
39028.301	0.471
39266.949	0.468
39391.992	0.466
39512.230	0.462
39759.043	0.460
39880.434	0.457
40086.578	0.454
40294.250	0.452
40503.000	0.450
40626.660	0.446
40756.004	0.446
41005.215	0.443
41130.410	0.440
41342.980	0.437
41469.207	0.436
41777.961	0.432
41999.414	0.430
42331.770	0.426
42731.312	0.422
42822.020	0.421
42958.312	0.418
43226.152	0.415
43490.473	0.412
43582.715	0.409
43860.734	0.408
44134.164	0.404
44274.707	0.401
44551.270	0.398
44834.949	0.395
45258.082	0.392
45258.082	0.391
45396.223	0.389
45540.789	0.388
45637.457	0.387
45637.457	0.387
46312.887	0.383
46312.887	0.382
46552.820	0.380
46700.488	0.379
46799.578	0.377
47235.691	0.373
47235.691	0.373
47379.867	0.370
47675.828	0.370
47973.082	0.367
48071.785	0.369
48227.926	0.363
48381.508	0.360
48529.184	0.359
48677.348	0.358
48935.328	0.354
48935.328	0.354
49293.219	0.351
49293.219	0.351
49594.633	0.349
49594.633	0.349
49594.633	0.347
49903.852	0.347
50062.770	0.346
50168.953	0.343
50322.125	0.343
50475.723	0.341
50582.828	0.341
50737.262	0.339
51203.320	0.337
51203.320	0.337
51625.727	0.334
51625.727	0.333
51783.305	0.332
52050.977	0.329
52209.895	0.329
52209.895	0.329
52369.254	0.328
52857.270	0.325
53025.547	0.324
53200.801	0.322
53370.129	0.320
53370.129	0.320
54038.344	0.317
54038.344	0.317
54203.285	0.316
54375.891	0.315
54549.008	0.313
54882.559	0.311
54882.559	0.308
55050.125	0.308
55218.152	0.308
55555.891	0.306
55909.504	0.302
55909.504	0.302
56080.203	0.301
56080.203	0.301
56251.375	0.300
56722.855	0.297
56722.855	0.297
56896.082	0.296
57197.574	0.295
57372.207	0.294
57547.324	0.293
57547.324	0.293
57730.582	0.290
58221.363	0.289
58406.766	0.288
58406.766	0.288
58654.168	0.286
58965.754	0.285
59326.312	0.281
59507.445	0.280
59607.789	0.283
59689.078	0.277
59879.156	0.277
60196.605	0.274
60564.645	0.273
60757.461	0.272
60757.461	0.272
61079.516	0.270
61395.945	0.268
61583.398	0.268
61583.398	0.267
61910.543	0.266
62106.930	0.265
62106.930	0.265
62238.711	0.264
62561.148	0.263
62885.254	0.262
63218.586	0.260
63352.727	0.260
63546.102	0.260
63748.461	0.258
63748.461	0.258
63748.461	0.257
64138.266	0.257
64538.906	0.256
64538.906	0.254
64803.797	0.253
65399.066	0.251
65399.066	0.250
65598.734	0.249
65737.930	0.248
65737.930	0.247
66139.898	0.246
66341.781	0.246
66341.781	0.244
66482.547	0.244
66685.477	0.243
67039.781	0.242
67039.781	0.242
67244.406	0.240
67798.305	0.239
67798.305	0.238
67798.305	0.238
68430.094	0.237
68639.023	0.236
68848.531	0.236
69058.734	0.235
69269.523	0.234
69269.523	0.234
69416.500	0.233
69416.500	0.232
69628.383	0.232
69840.969	0.231
70054.141	0.230
70202.789	0.230
70202.789	0.229
70202.789	0.229
70417.125	0.229
70417.125	0.228
70632.062	0.227
70847.711	0.227
70847.711	0.227
71072.445	0.226
71223.195	0.226
71223.195	0.225
71450.000	0.225
71450.000	0.224
71668.203	0.224
71668.203	0.223
71668.203	0.222
71668.203	0.222
72039.438	0.221
72039.438	0.221
72259.320	0.221
72719.367	0.219
72719.367	0.218
72719.367	0.218
73096.102	0.217
73096.102	0.217
73474.789	0.216
73474.789	0.216
73924.070	0.216
74149.766	0.215
74149.766	0.214
74149.766	0.214
74621.852	0.212
74849.625	0.211
74849.625	0.211
75078.148	0.210
75547.125	0.209
75777.719	0.209
76009.078	0.209
76009.078	0.209
76655.242	0.206
76899.352	0.205
76899.352	0.205
77134.070	0.205
77134.070	0.205
77369.570	0.205
77862.094	0.203
78401.703	0.201
78641.008	0.199
79121.883	0.198
79372.859	0.198
79615.195	0.197
79615.195	0.197
79615.195	0.196
80102.023	0.195
80102.023	0.195
80517.000	0.194
80773.406	0.194
80773.406	0.193
81030.562	0.192
81277.961	0.192
81277.961	0.191
81698.023	0.190
81947.453	0.190
81947.453	0.189
82197.586	0.188
82447.664	0.191
82711.102	0.188
82711.102	0.187
82974.422	0.186
83492.719	0.185
83747.633	0.185
83747.633	0.185
83924.297	0.184
84191.625	0.183
84459.594	0.183
84459.594	0.182
84976.039	0.181
84976.039	0.181
84976.039	0.181
85505.859	0.180
85824.078	0.179
85824.078	0.179
86097.453	0.178
86645.461	0.177
86645.461	0.177
86645.461	0.177
87186.688	0.176
87186.688	0.176
87186.688	0.175
87371.688	0.174
87649.922	0.174
87649.922	0.174
87834.812	0.173
88371.906	0.172
88653.250	0.172
88935.562	0.171
89218.852	0.171
89501.789	0.170
89786.727	0.168
90072.648	0.168
90358.367	0.167
90634.172	0.167
90910.891	0.166
91200.312	0.166
91490.742	0.165
91975.703	0.163
92256.438	0.163
92256.438	0.163
93029.695	0.162
93325.945	0.162
93325.945	0.161
93610.805	0.160
93907.750	0.160
94206.797	0.159
94494.344	0.158
94795.258	0.158
95386.297	0.157
95689.977	0.156
95982.125	0.156
96581.680	0.155
97196.500	0.154
97196.500	0.153
97506.023	0.152
97506.023	0.152
98102.250	0.152
98414.648	0.151
98414.648	0.150
98622.258	0.150
98923.281	0.150
99238.297	0.149
99238.297	0.148
99541.203	0.148
99752.414	0.148
1.001e5	0.147
1.007e5	0.146
1.010e5	0.146
1.010e5	0.145
1.012e5	0.144
1.018e5	0.144
1.025e5	0.144
1.025e5	0.144
1.031e5	0.143
1.033e5	0.142
1.036e5	0.141
1.036e5	0.141
1.043e5	0.140
1.048e5	0.139
1.055e5	0.138
1.058e5	0.137
1.062e5	0.137
1.065e5	0.136
1.068e5	0.136
1.075e5	0.135
1.078e5	0.135
1.081e5	0.134
1.085e5	0.133
1.094e5	0.131
1.094e5	0.131
1.101e5	0.131
1.101e5	0.131
1.104e5	0.130
1.108e5	0.130
1.111e5	0.129
1.124e5	0.128
1.127e5	0.127
1.131e5	0.127
1.131e5	0.127
1.134e5	0.126
1.141e5	0.125
1.145e5	0.125
1.145e5	0.125
1.148e5	0.124
1.154e5	0.124
1.162e5	0.123
1.165e5	0.123
1.171e5	0.122
1.171e5	0.121
1.175e5	0.121
1.177e5	0.121
1.181e5	0.120
1.189e5	0.120
1.189e5	0.119
1.189e5	0.119
1.192e5	0.119
1.195e5	0.119
1.195e5	0.118
1.203e5	0.118
1.206e5	0.118
1.209e5	0.117
1.209e5	0.117
1.216e5	0.116
1.220e5	0.116
1.220e5	0.116
1.220e5	0.116
1.220e5	0.115
1.220e5	0.115
1.228e5	0.114
1.232e5	0.114
1.239e5	0.113
1.243e5	0.113
1.255e5	0.112
1.255e5	0.111
1.259e5	0.111
1.263e5	0.111
1.263e5	0.110
1.270e5	0.110
1.279e5	0.109
1.279e5	0.109
1.282e5	0.108
1.290e5	0.108
1.294e5	0.107
1.307e5	0.107
1.307e5	0.106
1.313e5	0.106
1.318e5	0.106
1.322e5	0.105
1.326e5	0.105
1.326e5	0.105
1.330e5	0.104
1.330e5	0.104
1.338e5	0.103
1.338e5	0.103
1.342e5	0.103
1.351e5	0.102
1.355e5	0.102
1.358e5	0.101
1.358e5	0.101
1.362e5	0.100
1.365e5	0.100
1.365e5	0.100
1.376e5	0.099
1.385e5	0.099
1.385e5	0.099
1.391e5	0.098
1.398e5	0.098
1.403e5	0.098
1.410e5	0.097
1.414e5	0.097
1.418e5	0.097
1.421e5	0.097
1.421e5	0.096
1.426e5	0.096
1.430e5	0.095
1.434e5	0.095
1.434e5	0.095
1.438e5	0.095
1.446e5	0.094
1.446e5	0.094
1.446e5	0.094
1.451e5	0.093
1.456e5	0.093
1.456e5	0.093
1.456e5	0.093
1.456e5	0.093
1.464e5	0.092
1.474e5	0.092
1.474e5	0.092
1.474e5	0.091
1.483e5	0.091
1.487e5	0.091
1.492e5	0.090
1.496e5	0.090
1.496e5	0.090
1.500e5	0.089
1.509e5	0.089
1.514e5	0.088
1.523e5	0.088
1.523e5	0.088
1.523e5	0.088
1.541e5	0.087
1.541e5	0.087
1.546e5	0.087
1.551e5	0.086
1.560e5	0.086
1.568e5	0.086
1.568e5	0.085
1.572e5	0.085
1.577e5	0.085
1.590e5	0.084
1.595e5	0.083
1.595e5	0.083
1.598e5	0.083
1.598e5	0.083
1.603e5	0.082
1.613e5	0.082
1.613e5	0.082
1.613e5	0.081
1.618e5	0.081
1.618e5	0.081
1.626e5	0.081
1.626e5	0.081
1.626e5	0.080
1.641e5	0.080
1.641e5	0.080
1.651e5	0.080
1.665e5	0.079
1.665e5	0.079
1.670e5	0.079
1.687e5	0.078
1.687e5	0.078
1.692e5	0.078
1.692e5	0.077
1.701e5	0.077
1.701e5	0.077
1.717e5	0.076
1.717e5	0.076
1.722e5	0.076
1.728e5	0.076
1.733e5	0.075
1.733e5	0.075
1.736e5	0.075
1.742e5	0.075
1.742e5	0.075
1.752e5	0.074
1.763e5	0.074
1.769e5	0.073
1.774e5	0.073
1.774e5	0.073
1.785e5	0.073
1.785e5	0.072
1.791e5	0.072
1.791e5	0.072
1.796e5	0.072
1.802e5	0.072
1.806e5	0.072
1.811e5	0.071
1.811e5	0.071
1.822e5	0.071
1.828e5	0.071
1.828e5	0.070
1.832e5	0.070
1.838e5	0.070
1.844e5	0.070
1.849e5	0.070
1.853e5	0.069
1.859e5	0.069
1.859e5	0.069
1.869e5	0.068
1.875e5	0.068
1.880e5	0.068
1.896e5	0.067
1.898e5	0.067
1.898e5	0.067
1.898e5	0.067
1.902e5	0.067
1.908e5	0.066
1.924e5	0.066
1.930e5	0.066
1.934e5	0.066
1.940e5	0.065
1.940e5	0.065
1.944e5	0.065
1.950e5	0.065
1.956e5	0.064
1.966e5	0.064
1.966e5	0.064
1.971e5	0.064
1.977e5	0.064
1.983e5	0.064
1.992e5	0.063
1.992e5	0.063
1.992e5	0.063
1.999e5	0.063
2.005e5	0.063
2.005e5	0.062
2.011e5	0.062
2.017e5	0.062
2.021e5	0.062
2.021e5	0.062
2.036e5	0.061
2.036e5	0.061
2.040e5	0.061
2.040e5	0.061
2.042e5	0.061
2.046e5	0.061
2.052e5	0.060
2.053e5	0.060
2.059e5	0.060
