#   POSITRON/ELECTRON+POSITRON  PAMELA(2006/07-2009/12)
#   <E>  Elo  Eup   y   ystat_lo  ystat_up  ysyst_lo  ysyst_up  yerrtot_lo  yerrtot_up
1.640000e+00 1.500000e+00 1.800000e+00 7.770000e-02 1.100000e-03 1.100000e-03 0.000000e+00 0.000000e+00 1.100000e-03 1.100000e-03
1.940000e+00 1.800000e+00 2.100000e+00 7.110000e-02 1.200000e-03 1.200000e-03 0.000000e+00 0.000000e+00 1.200000e-03 1.200000e-03
2.380000e+00 2.100000e+00 2.700000e+00 6.530000e-02 9.000000e-04 9.000000e-04 0.000000e+00 0.000000e+00 9.000000e-04 9.000000e-04
3.060000e+00 2.700000e+00 3.500000e+00 5.860000e-02 1.000000e-03 1.000000e-03 0.000000e+00 0.000000e+00 1.000000e-03 1.000000e-03
3.830000e+00 3.500000e+00 4.200000e+00 5.450000e-02 1.300000e-03 1.300000e-03 0.000000e+00 0.000000e+00 1.300000e-03 1.300000e-03
4.570000e+00 4.200000e+00 5.000000e+00 5.350000e-02 1.400000e-03 1.400000e-03 0.000000e+00 0.000000e+00 1.400000e-03 1.400000e-03
5.460000e+00 5.000000e+00 6.000000e+00 5.230000e-02 1.500000e-03 1.500000e-03 0.000000e+00 0.000000e+00 1.500000e-03 1.500000e-03
6.880000e+00 6.000000e+00 8.000000e+00 5.040000e-02 1.400000e-03 1.400000e-03 0.000000e+00 0.000000e+00 1.400000e-03 1.400000e-03
8.900000e+00 8.000000e+00 1.000000e+01 5.200000e-02 1.900000e-03 1.900000e-03 0.000000e+00 0.000000e+00 1.900000e-03 1.900000e-03
1.130000e+01 1.000000e+01 1.300000e+01 5.570000e-02 2.300000e-03 2.300000e-03 0.000000e+00 0.000000e+00 2.300000e-03 2.300000e-03
1.390000e+01 1.300000e+01 1.500000e+01 6.300000e-02 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
1.720000e+01 1.500000e+01 2.000000e+01 6.100000e-02 4.000000e-03 4.000000e-03 0.000000e+00 0.000000e+00 4.000000e-03 4.000000e-03
2.300000e+01 2.000000e+01 2.800000e+01 6.200000e-02 5.000000e-03 5.000000e-03 0.000000e+00 0.000000e+00 5.000000e-03 5.000000e-03
3.310000e+01 2.800000e+01 4.200000e+01 7.300000e-02 7.000000e-03 7.000000e-03 0.000000e+00 0.000000e+00 7.000000e-03 7.000000e-03
5.020000e+01 4.200000e+01 6.500000e+01 9.900000e-02 1.300000e-02 1.300000e-02 0.000000e+00 0.000000e+00 1.300000e-02 1.300000e-02
7.750000e+01 6.500000e+01 1.000000e+02 1.210000e-01 2.200000e-02 2.200000e-02 0.000000e+00 0.000000e+00 2.200000e-02 2.200000e-02
1.350000e+02 1.000000e+02 2.000000e+02 1.630000e-01 4.000000e-02 4.000000e-02 0.000000e+00 0.000000e+00 4.000000e-02 4.000000e-02
