x	 y
1.042	 0.308
1.097	 0.325
1.268	 0.378
1.556	 0.460
2.272	 0.650
3.962	 1.035
5.653	 1.383
7.858	 1.797
11.527	 2.402
17.044	 3.117
25.516	 4.083
38.140	 5.156
56.387	 6.292
96.561	 7.908
194.570	 9.796
362.738	 10.729
518.391	 10.717
746.628	 10.334
1222.259 9.360
1959.044 7.837
2602.964 6.852
3047.917 6.326
3657.851 5.594
4217.539 4.986
4765.140 4.557
5718.715 3.921
7862.797 3.015
10118.405	2.286
12720.483	1.794
17248.182	1.265
24577.617	0.823
31326.299	0.608
48071.785	0.369
59607.789	0.283
82447.664	0.191
1.403e5		0.098
2.052e5		0.060
2.782e5		0.042
3.641e5		0.030
4.669e5		0.022
5.887e5		0.016
7.065e5		0.013
8.704e5		0.010
1.046e6		0.008
1.214e6		0.006
1.429e6		0.005
1.697e6		0.004
2.210e6		0.003
2.521e6		0.003

