x	y
92.005	0.228
92.377	0.229
92.670	0.231
92.953	0.231
92.953	0.232
93.236	0.232
93.521	0.233
93.807	0.234
93.807	0.234
94.093	0.235
94.380	0.236
94.380	0.236
94.380	0.237
94.380	0.237
94.380	0.237
94.580	0.238
94.882	0.239
94.882	0.239
95.171	0.240
95.462	0.241
95.766	0.241
96.058	0.242
96.670	0.243
96.670	0.244
96.670	0.244
96.875	0.245
96.875	0.245
97.170	0.246
97.377	0.246
97.377	0.247
97.674	0.247
97.674	0.247
97.880	0.248
98.192	0.249
98.713	0.250
99.026	0.251
99.329	0.252
99.329	0.253
99.962	0.255
100.173	0.256
100.173	0.256
100.479	0.257
100.479	0.258
100.799	0.258
101.106	0.259
101.415	0.260
101.725	0.261
102.195	0.262
102.360	0.263
102.686	0.264
103.121	0.265
103.436	0.265
103.752	0.266
104.068	0.267
104.718	0.268
105.038	0.269
105.359	0.269
106.003	0.270
106.327	0.271
106.651	0.271
106.991	0.272
106.991	0.274
107.216	0.274
107.216	0.275
107.216	0.276
107.444	0.276
107.772	0.277
108.803	0.278
109.150	0.281
110.545	0.285
110.897	0.286
111.249	0.286
111.249	0.287
111.589	0.287
111.929	0.288
111.929	0.288
112.271	0.289
112.271	0.290
112.614	0.290
112.614	0.290
112.958	0.291
113.663	0.292
113.904	0.292
113.904	0.293
114.387	0.294
114.736	0.294
114.736	0.295
114.736	0.296
114.979	0.297
115.346	0.298
115.713	0.298
115.713	0.299
116.066	0.300
116.420	0.300
116.790	0.301
117.146	0.302
117.504	0.303
117.863	0.304
117.863	0.305
118.113	0.306
118.363	0.307
118.363	0.308
118.740	0.308
118.991	0.309
119.750	0.310
120.115	0.312
120.865	0.313
121.120	0.314
121.506	0.315
121.764	0.316
122.152	0.318
122.929	0.320
123.305	0.322
123.681	0.323
124.075	0.323
124.848	0.325
125.495	0.327
126.162	0.328
126.162	0.329
126.476	0.329
126.547	0.329
126.948	0.330
127.623	0.332
128.029	0.333
128.301	0.333
128.692	0.334
129.101	0.334
129.786	0.336
130.596	0.338
131.012	0.339
131.289	0.340
131.690	0.341
132.110	0.343
132.513	0.343
132.513	0.344
132.917	0.344
133.323	0.345
133.746	0.345
134.030	0.346
134.457	0.347
135.726	0.348
136.158	0.350
136.447	0.350
137.170	0.353
137.607	0.355
138.466	0.356
138.466	0.358
138.760	0.359
139.643	0.361
140.088	0.363
140.961	0.364
141.261	0.365
142.461	0.368
142.764	0.369
143.200	0.370
143.960	0.372
144.858	0.375
145.782	0.377
146.246	0.378
147.021	0.379
147.333	0.381
148.096	0.382
148.862	0.384
148.862	0.385
148.878	0.386
149.653	0.386
150.446	0.387
150.925	0.389
151.848	0.389
152.311	0.390
152.776	0.391
153.243	0.392
153.711	0.393
154.200	0.394
155.182	0.398
156.006	0.399
156.006	0.400
156.981	0.401
157.980	0.403
158.651	0.405
158.986	0.407
159.492	0.408
159.979	0.409
160.488	0.410
160.997	0.413
161.853	0.414
162.347	0.416
162.864	0.417
163.901	0.419
164.422	0.420
165.449	0.422
165.955	0.423
166.305	0.425
166.812	0.426
167.699	0.428
168.054	0.430
169.124	0.432
170.000	0.433
170.542	0.434
171.062	0.435
171.947	0.436
172.471	0.436
173.388	0.436
174.448	0.438
174.980	0.439
175.352	0.440
176.445	0.442
177.570	0.444
178.112	0.445
178.656	0.446
179.794	0.448
180.940	0.450
182.092	0.454
182.479	0.456
183.036	0.457
183.424	0.458
184.240	0.455
184.568	0.460
184.568	0.461
185.696	0.463
186.287	0.465
186.881	0.467
187.451	0.468
188.046	0.468
188.644	0.470
189.848	0.471
190.427	0.473
191.009	0.474
192.199	0.475
192.786	0.476
193.375	0.477
194.557	0.478
195.591	0.479
196.006	0.480
197.204	0.481
198.250	0.482
198.670	0.483
199.277	0.484
200.521	0.485
200.521	0.487
201.798	0.488
202.441	0.490
203.083	0.491
203.514	0.493
204.162	0.495
205.461	0.497
206.991	0.500
207.430	0.504
207.430	0.505
208.309	0.506
208.309	0.507
208.945	0.509
209.388	0.509
209.388	0.511
210.696	0.512
212.010	0.515
213.108	0.517
213.108	0.518
213.108	0.519
213.108	0.520
214.439	0.521
215.122	0.522
216.062	0.523
216.721	0.523
217.870	0.523
218.999	0.524
219.463	0.524
220.133	0.525
220.805	0.525
220.805	0.526
222.155	0.526
224.044	0.529
224.996	0.529
226.401	0.531
227.813	0.532
228.296	0.535
229.023	0.536
229.722	0.537
231.185	0.540
231.890	0.541
233.339	0.542
234.051	0.544
235.482	0.545
236.201	0.546
236.922	0.548
237.425	0.548
237.926	0.549
238.652	0.551
239.412	0.551
240.143	0.553
240.876	0.554
241.611	0.555
242.124	0.556
242.638	0.556
242.964	0.558
243.378	0.557
243.378	0.559
245.187	0.562
247.272	0.565
247.797	0.565
248.586	0.566
249.113	0.567
249.873	0.567
249.873	0.569
251.464	0.570
252.232	0.571
253.002	0.572
253.539	0.572
255.122	0.573
256.713	0.575
258.899	0.577
260.237	0.579
261.031	0.580
262.384	0.581
262.940	0.582
263.743	0.584
264.548	0.584
265.109	0.585
265.950	0.586
267.577	0.588
268.428	0.589
269.248	0.590
269.819	0.590
272.366	0.591
273.523	0.592
274.394	0.594
276.690	0.595
277.535	0.596
279.232	0.598
281.871	0.599
283.328	0.600
284.230	0.601
285.098	0.603
285.968	0.604
287.717	0.605
288.595	0.607
289.476	0.607
289.476	0.608
290.398	0.609
292.212	0.611
292.828	0.612
293.722	0.613
294.619	0.615
294.619	0.616
295.244	0.618
297.127	0.621
299.653	0.623
300.568	0.623
301.205	0.624
302.161	0.624
303.123	0.624
303.922	0.623
308.743	0.630
311.702	0.633
313.608	0.633
316.274	0.633
317.951	0.634
318.921	0.634
319.937	0.635
320.913	0.637
322.956	0.638
323.942	0.639
324.630	0.641
326.615	0.641
327.307	0.642
328.002	0.642
328.698	0.644
330.747	0.644
331.800	0.645
333.210	0.645
336.355	0.646
339.174	0.646
340.209	0.648
343.102	0.649
343.102	0.650
344.194	0.652
345.973	0.652
347.029	0.653
348.134	0.653
349.938	0.654
350.680	0.656
352.913	0.657
354.788	0.659
355.913	0.659
356.185	0.656
357.000	0.660
358.089	0.660
359.945	0.660
362.577	0.661
365.999	0.661
367.165	0.662
369.111	0.662
371.810	0.663
375.369	0.665
376.963	0.665
376.963	0.666
379.268	0.666
379.268	0.667
381.229	0.667
382.392	0.669
386.006	0.669
386.825	0.670
389.650	0.670
394.632	0.670
399.254	0.670
400.473	0.670
402.547	0.672
403.776	0.672
406.245	0.673
408.350	0.673
409.596	0.675
411.714	0.675
414.725	0.675
416.928	0.676
420.472	0.679
423.149	0.681
424.497	0.682
425.793	0.683
430.323	0.683
433.522	0.683
435.768	0.683
438.083	0.683
440.347	0.683
442.687	0.683
444.980	0.683
448.705	0.683
449.635	0.675
451.507	0.683
453.847	0.683
456.252	0.682
459.649	0.681
462.025	0.679
464.479	0.679
466.447	0.679
468.864	0.679
471.293	0.679
475.243	0.678
476.245	0.678
478.713	0.678
482.725	0.676
486.829	0.676
490.389	0.675
494.035	0.674
498.697	0.674
501.347	0.674
503.471	0.672
508.828	0.672
513.093	0.672
516.359	0.671
519.035	0.671
525.114	0.671
528.463	0.671
531.195	0.671
533.451	0.671
541.347	0.669
544.411	0.667
545.949	0.669
547.616	0.668
552.206	0.667
553.957	0.667
555.721	0.666
555.721	0.664
555.721	0.663
556.900	0.663
558.600	0.661
558.600	0.660
562.156	0.660
562.156	0.658
563.873	0.658
567.395	0.657
571.544	0.656
574.574	0.656
577.551	0.656
579.314	0.654
581.768	0.654
585.479	0.653
587.343	0.653
590.934	0.651
592.738	0.651
595.249	0.651
598.333	0.650
602.070	0.650
605.261	0.648
608.477	0.648
610.407	0.647
615.604	0.645
617.483	0.645
619.368	0.644
623.230	0.642
627.123	0.641
631.115	0.641
634.468	0.639
636.405	0.638
638.644	0.635
639.702	0.638
641.731	0.636
643.690	0.635
647.194	0.634
660.868	0.629
660.868	0.628
662.886	0.628
664.909	0.628
667.027	0.627
670.482	0.627
672.617	0.625
674.671	0.625
674.671	0.624
676.811	0.624
681.038	0.622
683.117	0.622
683.117	0.621
684.567	0.621
688.196	0.620
688.196	0.618
689.656	0.618
691.761	0.617
693.873	0.616
695.345	0.614
696.820	0.614
701.164	0.613
705.544	0.611
709.200	0.611
711.365	0.610
711.365	0.609
715.714	0.609
715.714	0.608
717.899	0.608
720.091	0.607
724.494	0.605
726.706	0.605
726.706	0.604
731.149	0.603
731.149	0.601
733.381	0.600
735.620	0.599
735.620	0.598
737.181	0.598
738.745	0.597
740.303	0.597
741.874	0.594
748.181	0.592
749.768	0.592
753.653	0.591
759.961	0.591
759.961	0.590
762.280	0.590
764.708	0.588
767.142	0.588
767.142	0.586
768.770	0.584
771.209	0.584
775.925	0.582
778.293	0.582
780.771	0.580
784.817	0.579
786.482	0.578
791.488	0.577
793.905	0.575
793.905	0.574
798.760	0.573
801.303	0.571
803.854	0.571
806.404	0.570
810.582	0.569
813.056	0.568
815.539	0.568
818.135	0.567
820.633	0.565
823.138	0.564
825.651	0.562
828.270	0.560
830.798	0.558
831.577	0.561
833.335	0.557
835.879	0.556
838.430	0.555
842.885	0.555
845.458	0.555
845.458	0.553
849.949	0.553
852.544	0.552
857.063	0.551
859.679	0.551
859.679	0.550
862.303	0.550
864.936	0.548
867.576	0.548
870.225	0.547
872.881	0.547
875.546	0.546
878.219	0.545
878.219	0.543
882.884	0.543
882.884	0.543
885.685	0.543
888.389	0.541
891.217	0.541
893.938	0.541
895.834	0.541
895.834	0.540
898.676	0.540
901.420	0.539
904.290	0.538
907.050	0.537
909.939	0.537
909.939	0.535
911.869	0.535
914.653	0.535
914.653	0.534
916.582	0.533
919.381	0.533
919.381	0.532
922.187	0.532
924.144	0.531
926.965	0.529
929.794	0.529
932.633	0.527
935.480	0.526
937.465	0.526
937.465	0.525
937.465	0.524
940.327	0.524
941.559	0.521
