x	y
61.799	1.090
61.971	1.095
62.424	1.108
62.614	1.108
62.614	1.111
62.614	1.113
62.614	1.116
62.806	1.116
62.806	1.121
63.005	1.123
63.138	1.126
63.331	1.128
63.331	1.130
63.466	1.133
63.600	1.135
63.600	1.138
63.600	1.143
63.794	1.146
63.794	1.149
63.989	1.151
63.989	1.154
63.989	1.157
64.184	1.160
64.184	1.163
64.380	1.164
64.577	1.167
64.577	1.170
64.577	1.172
64.774	1.174
64.972	1.179
65.179	1.184
65.179	1.187
65.179	1.189
65.385	1.192
65.385	1.195
65.585	1.199
65.585	1.204
65.585	1.207
65.794	1.209
65.794	1.213
65.995	1.213
65.995	1.216
66.135	1.219
66.135	1.223
66.275	1.228
66.416	1.228
66.556	1.236
66.759	1.239
66.971	1.245
67.185	1.253
67.541	1.260
67.756	1.266
67.900	1.268
68.107	1.271
68.107	1.273
68.315	1.276
68.315	1.280
68.460	1.280
68.460	1.286
68.604	1.291
68.604	1.294
68.814	1.297
68.814	1.299
69.234	1.305
69.234	1.308
69.446	1.308
69.593	1.310
69.593	1.313
69.741	1.316
69.927	1.327
70.185	1.322
70.185	1.325
70.185	1.327
70.185	1.329
70.185	1.332
70.185	1.334
70.399	1.337
70.399	1.339
70.399	1.342
70.614	1.342
70.614	1.345
70.764	1.348
70.914	1.348
70.914	1.351
71.130	1.351
71.565	1.361
71.565	1.364
71.784	1.364
71.784	1.366
71.784	1.369
72.003	1.372
72.003	1.374
72.003	1.376
72.232	1.379
72.232	1.382
72.385	1.382
72.385	1.385
72.615	1.389
72.615	1.392
72.615	1.395
72.615	1.398
72.837	1.401
72.837	1.404
72.837	1.407
73.282	1.410
73.282	1.412
73.515	1.419
73.740	1.419
73.740	1.422
73.740	1.425
73.975	1.425
73.975	1.428
73.975	1.431
74.200	1.434
74.436	1.440
74.436	1.443
74.673	1.443
74.673	1.446
74.911	1.449
74.911	1.453
75.139	1.453
75.139	1.456
75.379	1.462
75.379	1.467
75.618	1.476
75.618	1.480
75.618	1.483
75.858	1.488
75.858	1.490
75.858	1.492
75.858	1.496
76.090	1.499
76.565	1.502
76.799	1.506
76.799	1.509
76.961	1.509
77.206	1.513
77.206	1.520
77.206	1.522
77.442	1.525
77.442	1.528
77.442	1.531
77.442	1.534
77.688	1.534
77.688	1.537
77.926	1.537
77.926	1.541
78.422	1.543
78.671	1.547
78.838	1.553
79.079	1.557
79.320	1.560
79.320	1.567
79.320	1.570
79.320	1.573
79.320	1.576
79.320	1.579
79.562	1.583
79.562	1.589
79.816	1.592
80.059	1.592
80.304	1.595
80.304	1.599
80.473	1.602
80.644	1.609
80.644	1.612
80.890	1.612
80.890	1.616
80.890	1.618
80.890	1.621
81.148	1.625
81.406	1.632
81.406	1.636
81.664	1.636
81.914	1.640
82.087	1.646
82.087	1.650
82.338	1.653
82.338	1.656
82.338	1.660
82.600	1.665
82.600	1.667
82.600	1.674
82.776	1.678
83.038	1.688
83.038	1.692
83.127	1.676
83.292	1.692
83.292	1.698
83.546	1.702
83.546	1.705
83.812	1.709
84.079	1.716
84.079	1.720
84.256	1.720
84.524	1.727
84.524	1.731
84.704	1.736
85.233	1.747
85.233	1.750
85.594	1.758
86.129	1.766
86.586	1.774
86.861	1.778
87.126	1.782
87.126	1.786
87.577	1.794
87.856	1.801
87.856	1.805
88.124	1.813
88.404	1.821
88.404	1.824
88.591	1.831
88.862	1.839
88.862	1.842
89.133	1.846
89.405	1.846
89.678	1.850
89.964	1.854
90.346	1.863
90.632	1.870
90.909	1.879
90.909	1.882
90.909	1.886
90.909	1.891
91.102	1.895
91.102	1.899
91.110	1.897
91.683	1.908
92.157	1.908
92.157	1.912
92.733	1.917
93.028	1.920
93.510	1.929
93.807	1.937
94.093	1.937
94.093	1.942
94.093	1.946
94.393	1.958
94.681	1.966
94.681	1.972
95.486	1.980
95.790	1.989
96.095	1.998
96.095	2.002
96.388	2.007
96.899	2.021
97.195	2.025
97.504	2.030
97.813	2.038
98.112	2.038
98.112	2.042
98.112	2.047
98.424	2.052
98.738	2.056
98.738	2.061
99.249	2.066
99.249	2.080
99.775	2.088
99.775	2.096
100.386	2.101
100.386	2.106
100.692	2.116
101.227	2.124
101.536	2.124
101.846	2.133
102.277	2.145
102.821	2.150
102.821	2.160
103.135	2.170
103.463	2.178
103.791	2.181
104.011	2.181
104.011	2.186
104.011	2.191
104.232	2.195
104.512	2.196
104.831	2.211
105.165	2.211
105.165	2.215
105.165	2.220
105.486	2.220
105.808	2.225
105.808	2.230
105.968	2.211
106.032	2.230
106.032	2.235
106.256	2.240
106.594	2.240
106.594	2.243
106.919	2.247
107.246	2.252
107.573	2.252
107.801	2.257
108.131	2.262
108.131	2.267
108.131	2.272
108.360	2.277
108.360	2.283
108.691	2.283
108.691	2.288
109.023	2.288
109.023	2.293
109.355	2.293
109.689	2.296
110.024	2.302
110.360	2.302
110.593	2.307
110.930	2.312
111.284	2.323
111.638	2.328
111.638	2.333
111.993	2.338
111.993	2.344
111.993	2.349
112.335	2.349
112.572	2.353
112.572	2.357
112.916	2.362
113.275	2.367
113.275	2.372
113.636	2.372
113.877	2.378
113.877	2.383
114.225	2.389
114.574	2.389
114.574	2.394
114.923	2.398
115.288	2.398
115.640	2.403
116.008	2.407
116.362	2.412
116.717	2.412
116.965	2.416
116.965	2.427
117.213	2.427
117.213	2.433
117.213	2.438
117.571	2.444
117.571	2.448
117.571	2.451
118.194	2.457
118.445	2.463
118.822	2.463
119.185	2.468
119.185	2.472
119.185	2.478
119.185	2.483
119.549	2.483
119.549	2.489
119.801	2.495
120.167	2.495
120.167	2.500
120.167	2.506
120.533	2.506
120.533	2.512
120.901	2.512
121.286	2.516
121.286	2.520
122.044	2.520
122.044	2.531
122.790	2.531
122.790	2.537
123.181	2.543
123.181	2.548
123.181	2.554
123.181	2.558
123.181	2.562
123.557	2.562
123.934	2.562
123.934	2.566
124.328	2.566
124.328	2.570
124.723	2.570
125.104	2.570
125.269	2.584
125.503	2.576
125.886	2.580
126.285	2.584
126.671	2.590
126.671	2.596
126.671	2.602
127.057	2.602
127.057	2.608
127.851	2.608
128.122	2.608
128.394	2.608
129.194	2.612
129.589	2.618
129.984	2.624
129.984	2.628
130.260	2.628
130.260	2.634
130.260	2.640
130.537	2.640
130.537	2.646
130.952	2.652
131.352	2.658
131.753	2.658
132.155	2.658
132.155	2.664
132.574	2.664
132.574	2.670
132.979	2.670
133.385	2.670
133.385	2.676
133.792	2.683
134.201	2.683
134.896	2.693
135.308	2.693
135.721	2.697
136.009	2.703
136.009	2.709
136.297	2.715
136.297	2.722
136.713	2.722
137.131	2.722
137.549	2.726
137.969	2.732
138.390	2.738
138.813	2.738
138.813	2.742
139.237	2.749
139.532	2.749
139.532	2.755
139.958	2.761
140.385	2.767
140.814	2.773
140.814	2.780
141.111	2.780
141.111	2.786
141.542	2.786
141.974	2.792
142.275	2.799
142.275	2.803
143.145	2.803
143.582	2.809
143.582	2.816
144.020	2.822
144.479	2.822
