x	y
61.799	1.090
69.927	1.327
83.127	1.676
91.110	1.897
105.968	2.211
125.269	2.584
153.086	2.902
183.679	3.085
218.809	3.190
268.726	3.216
305.582	3.216
343.108	3.216
386.026	3.150
464.141	3.019
533.392	2.850
609.947	2.644
678.098	2.484
771.053	2.271
833.374	2.117
906.355	1.990
983.790	1.827
1088.309	1.675
1142.701	1.583
1221.101	1.472
1308.781	1.380
1396.715	1.288
1518.067	1.185
1707.955	1.049
1874.829	0.947
2049.269	0.863
2190.008	0.809
2353.531	0.750
2486.898	0.695
2691.320	0.637
2937.810	0.582
3090.908	0.538
3376.355	0.480
3646.474	0.433
4028.246	0.380
4459.042	0.331
4812.722	0.300
5515.011	0.249
6066.166	0.217
6486.897	0.198
7216.737	0.169
7972.316	0.147
9174.609	0.121
9922.463	0.107
10618.066	0.096
12133.552	0.080
13122.598	0.070
14102.433	0.064
15834.228	0.053
17102.084	0.047
18210.615	0.043
20129.992	0.037
23151.084	0.030
25788.535	0.025
48806.750	0.009
57371.262	0.007
65609.648	0.006
76741.648	0.004
89313.305	0.004
1.016e5		0.003
1.206e5		0.002
1.408e5		0.002
1.715e5		0.001
1.866e5		0.001
2.030e5		9.006e-4
2.160e5		7.999e-4
