x	y
16.173	10.537
20.240	13.085
26.229	16.485
34.286	20.050
43.850	23.958
57.347	28.422
73.680	32.907
98.140	38.392
127.718	43.332
174.315	48.688
231.357	54.264
317.965	59.045
418.811	63.018
578.594	66.506
773.033	67.290
812.431	66.579
848.282	66.579
922.228	66.148
985.694	64.551
1020.862	63.027
1070.738	60.789
1099.315	57.516
1126.389	54.164
1163.546	49.374
1206.270	46.853
1265.840	43.921
1350.731	41.767
1450.953	40.265
1509.596	39.473
1576.212	38.835
1660.785	38.520
1913.323	37.439
2151.181	37.003
2536.892	36.686
3046.610	37.556
3460.717	37.556
3936.679	38.327
4241.917	38.327
4867.129	39.255
5647.296	40.043
6686.976	41.325
7829.646	42.369
8988.162	43.063
9813.249	43.593
