x	y
18.396	10.319
19.216	10.780
21.487	11.875
23.543	12.863
25.521	13.940
27.791	14.938
31.246	16.529
34.287	17.696
37.336	19.040
42.994	21.135
47.877	22.986
56.233	25.865
68.225	29.419
77.297	32.011
87.972	34.867
100.741	38.057
120.376	41.962
138.611	45.173
164.963	49.530
187.471	53.002
212.389	56.079
246.321	60.067
293.138	64.368
327.929	67.491
382.479	71.668
450.832	77.078
522.333	80.525
649.040	85.509
755.797	88.297
825.968	88.929
931.069	88.612
1041.051	86.477
1074.901	81.807
1096.408	77.000
1109.295	74.610
1145.888	65.330
1212.896	57.298
1272.793	52.922
1330.901	49.458
1373.425	48.094
1423.855	46.697
1505.605	44.313
1581.545	42.657
1721.374	41.122
1840.423	40.151
1978.966	39.004
2195.926	38.218
2528.567	37.181
2976.097	36.731
3327.797	36.285
3724.460	36.285
4256.272	36.303
4960.888	36.731
5660.712	36.731
6322.454	36.599
6937.583	36.599
7852.196	37.067
8896.324	37.067
9771.226	37.387
